Resultados para a variável: Va
Va : Size=576, Index=i*t
    Key      : Lower               : Value                  : Upper              : Fixed : Stale : Domain
     (11, 9) : -1.5707963267948966 :  -0.005489570835180918 : 1.5707963267948966 : False : False :  Reals
    (11, 10) : -1.5707963267948966 : -0.0019529114564854596 : 1.5707963267948966 : False : False :  Reals
    (11, 11) : -1.5707963267948966 :  0.0003613181773246094 : 1.5707963267948966 : False : False :  Reals
    (11, 12) : -1.5707963267948966 :  0.0010166698062964428 : 1.5707963267948966 : False : False :  Reals
    (11, 13) : -1.5707963267948966 :  0.0019619326823817527 : 1.5707963267948966 : False : False :  Reals
    (11, 14) : -1.5707963267948966 :  9.419606744602281e-05 : 1.5707963267948966 : False : False :  Reals
    (11, 15) : -1.5707963267948966 : -0.0007385701851362167 : 1.5707963267948966 : False : False :  Reals
    (11, 16) : -1.5707963267948966 : -0.0006380620355532648 : 1.5707963267948966 : False : False :  Reals
    (11, 17) : -1.5707963267948966 :    0.00203228654495647 : 1.5707963267948966 : False : False :  Reals
    (11, 18) : -1.5707963267948966 :   0.009748314069704752 : 1.5707963267948966 : False : False :  Reals
    (11, 19) : -1.5707963267948966 :   0.008517405103786915 : 1.5707963267948966 : False : False :  Reals
    (11, 20) : -1.5707963267948966 :   0.005555538339234934 : 1.5707963267948966 : False : False :  Reals
    (11, 21) : -1.5707963267948966 :  0.0028245808692121334 : 1.5707963267948966 : False : False :  Reals
    (11, 22) : -1.5707963267948966 :  -0.001061070396486058 : 1.5707963267948966 : False : False :  Reals
    (11, 23) : -1.5707963267948966 : -0.0037319936435232215 : 1.5707963267948966 : False : False :  Reals
    (11, 24) : -1.5707963267948966 :  -0.004260708276210651 : 1.5707963267948966 : False : False :  Reals
     (12, 1) : -1.5707963267948966 :  -0.006450368659581153 : 1.5707963267948966 : False : False :  Reals
     (12, 2) : -1.5707963267948966 :  -0.008375027500897974 : 1.5707963267948966 : False : False :  Reals
     (12, 3) : -1.5707963267948966 :  -0.009880436100615302 : 1.5707963267948966 : False : False :  Reals
     (12, 4) : -1.5707963267948966 :   -0.01053589619259881 : 1.5707963267948966 : False : False :  Reals
     (12, 5) : -1.5707963267948966 :  -0.011091360943952456 : 1.5707963267948966 : False : False :  Reals
     (12, 6) : -1.5707963267948966 :  -0.010627813668040388 : 1.5707963267948966 : False : False :  Reals
     (12, 7) : -1.5707963267948966 :  -0.009207058772406051 : 1.5707963267948966 : False : False :  Reals
     (12, 8) : -1.5707963267948966 :  -0.008024432887453286 : 1.5707963267948966 : False : False :  Reals
