variable,index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Block_Dispatch_d,5,0.01999991020233624,0.02,0.01999997475268047,0.02,0.02,0.01999991785756791,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Block_Dispatch_d,5,4.010489321052462e-06,1.25211405469644e-07,0.0,0.02,0.02,0.01999934853388261,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01999985457774555,0.02,0.02,0.02,0.02,0.02,0.01999880102620104,0.01999914019314563,0.01999324406791115,0.01999964641792917
Block_Dispatch_d,5,0.0,0.0,0.0,0.0,0.0,3.545817676975372e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Block_Dispatch_d,5,0.0,0.0,0.0,0.0,0.0,2.835340212283953e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Block_Dispatch_d,5,0.0,0.0,0.0,0.0,0.0,1.935809848833613e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Block_Dispatch_t,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Block_Dispatch_t,1,0.0674381292034311,0.1,0.0,0.09999968807350454,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0697942151156768,0.0
Block_Dispatch_t,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07412617793498621,0.1,0.09405063685635048,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.07841178683445926,0.0756506397838831,0.0,0.0,0.0
Block_Dispatch_t,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Block_Dispatch_t,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Block_Dispatch_t,2,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Block_Dispatch_t,2,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Block_Dispatch_t,2,0.0,0.0,0.15,0.0,0.06866111478914164,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.08348646630196052
Block_Dispatch_t,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06307481919457653,0.0,0.15,0.1499999916673,0.15,0.1185374230341047,0.1437761856220393,0.15,0.0,0.0,0.0,0.0,0.0,0.0
Block_Dispatch_t,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Block_Dispatch_t,3,0.0,0.0148831496139345,0.1100000000000136,0.02072739235248821,0.1100000000000136,0.1100000000000136,0.1100000000000136,0.1100000000000136,0.1100000000000136,0.1100000000000136,0.1100000000000136,0.1100000000000136,0.1100000000000136,0.1100000000000136,0.1100000000000136,0.1100000000000136,0.1100000000000136,0.1100000000000136,0.1100000000000136,0.1100000000000136,0.1100000000000136,0.1100000000000136,0.1100000000000136,0.1100000000000136
