index0,index1,index2,I.val
16,17,12,0.01141771632509804
16,17,13,0.01162057520892122
16,17,14,0.01206498535424362
16,17,15,0.01185065939655745
16,17,16,0.01205356082855512
16,17,17,0.01167748672672466
16,17,18,0.01202145717113784
16,17,19,0.01118787737416704
16,17,20,0.01194933164302174
16,17,21,0.01035303497433613
16,17,22,0.01032227214798969
16,17,23,0.008314259878904178
16,17,24,0.01153007602013259
17,18,1,0.003809893295622974
17,18,2,0.000916296728706459
17,18,3,0.004182625348249836
17,18,4,0.004175239284024307
17,18,5,0.002575410004034372
17,18,6,0.003487818526062806
17,18,7,0.003142424173743035
17,18,8,0.002714600785636054
17,18,9,0.002474866918171617
17,18,10,0.002226244570692122
17,18,11,0.002292608184097248
17,18,12,0.002411479899117441
17,18,13,0.002502404192649857
17,18,14,0.002452031614538356
17,18,15,0.002604474706517408
17,18,16,0.002427197102494883
17,18,17,0.0024752358128916
17,18,18,0.00241569723250252
17,18,19,0.002207794348872095
17,18,20,0.002295633900132648
17,18,21,0.001710090664969532
17,18,22,0.001564131694204809
17,18,23,0.0017716126794661
17,18,24,0.00199387146844978
17,19,1,0.002785719023264896
17,19,2,0.002769406764603982
17,19,3,0.002792009627996573
17,19,4,0.002786819524658448
17,19,5,0.002771500406729798
17,19,6,0.003654512349820907
17,19,7,0.004069500364390586
17,19,8,0.004219128756811966
17,19,9,0.004157089138079956
17,19,10,0.004094384874269783
17,19,11,0.004196265892517481
17,19,12,0.004169738645871376
17,19,13,0.004153654666413892
17,19,14,0.004127382920910545
17,19,15,0.004144721407804156
17,19,16,0.004128653633505518
17,19,17,0.004185052059548362
17,19,18,0.004086252709798054
17,19,19,0.004254462409382331
17,19,20,0.004183586416253151
17,19,21,0.004219548255229642
17,19,22,0.004249375716349066
17,19,23,0.002718613120922311
17,19,24,0.004313098216275146
18,20,1,0.004154812327709501
18,20,2,0.001090210360351397
18,20,3,0.004539629624960469
18,20,4,0.004522687831413796
18,20,5,0.002851254658727621
18,20,6,0.003812735942259279
18,20,7,0.003472825415258242
18,20,8,0.003044574366838271
18,20,9,0.002776258958360224
18,20,10,0.002553561343370676
18,20,11,0.002546109346699274
18,20,12,0.002674716017117862
18,20,13,0.002777473878733944
18,20,14,0.002799736530685559
18,20,15,0.002884351440570069
18,20,16,0.002761329709195714
18,20,17,0.002730800410626456
18,20,18,0.002727835642923199
18,20,19,0.002430569353028926
18,20,20,0.002592677946277282
18,20,21,0.001930007669094555
18,20,22,0.001808188414477927
18,20,23,0.002029979111461376
18,20,24,0.002255359740263788
20,21,1,2.290587272508282e-05
20,21,2,2.285132508513404e-05
20,21,3,2.182655838374979e-05
