index0,index1,index2,P.val
17,19,8,-0.06777448067450595
17,19,9,-0.06725089252827315
17,19,10,-0.06672748856743914
17,19,11,-0.0675563349666156
17,19,12,-0.06732358749192886
17,19,13,-0.0671781331461405
17,19,14,-0.06695527176041659
17,19,15,-0.0670908614213642
17,19,16,-0.06696883736582435
17,19,17,-0.06743995498270026
17,19,18,-0.06664263646553874
17,19,19,-0.0680508642493761
17,19,20,-0.06746918654560924
17,19,21,-0.0678183026012708
17,19,22,-0.06807997823398755
17,19,23,-0.05434180592591863
17,19,24,-0.06860361350942581
18,20,1,-0.06741941467875018
18,20,2,-0.0345972383888757
18,20,3,-0.0704533370563566
18,20,4,-0.07031916194992831
18,20,5,-0.05587056086628472
18,20,6,-0.06455078537866363
18,20,7,-0.06163989923102196
18,20,8,-0.05772368618479797
18,20,9,-0.05414538046277758
18,20,10,-0.05287671924896445
18,20,11,-0.04962175115163722
18,20,12,-0.05105284915524153
18,20,13,-0.05229098049787619
18,20,14,-0.05537628642215847
18,20,15,-0.05340766577363895
18,20,16,-0.05498921240078508
18,20,17,-0.05174194030890637
18,20,18,-0.05465251946450068
18,20,19,-0.04825202401834376
18,20,20,-0.05327315127170326
18,20,21,-0.0447796239416015
18,20,22,-0.04450746050428331
18,20,23,-0.04717036505881435
18,20,24,-0.04969319084324309
20,21,1,0.004509156696768109
20,21,2,0.004509156619124832
20,21,3,0.004400064167973582
